id,positive,negative
366856942859190000,0,0
347470131695341000,0,0
384697079458562000,0,0
346818718556381000,0,0
455903358818471000,0,0
288801314601844000,0,1
299698946727620000,0,0
288842334802685000,1,0
327803438551404000,0,0
356012112587407000,0,0
414805332951851000,0,1
404760276823588000,0,0
316760595145822000,2,0
432235413017612000,1,0
295964170548023000,0,0
308396272266657000,0,0
341362604293361000,2,0
301070836482314000,0,0
542809857792159000,0,2
437570177954091000,0,0
377457043927343000,1,0
353210116159442000,0,0
348768658539028000,2,0
394935845264035000,0,0
529795544965603000,0,1
477840042799296000,0,0
347079872453160000,0,0
519885897936805000,1,0
338361839916290000,0,0
400757581158690000,1,1
347097694264770000,1,0
548103019376570000,2,0
420982732941180000,0,0
478336681943121000,0,0
513719062770487000,0,1
403287946004283000,0,0
526076958929866000,0,0
334393574949015000,0,0
537983870839586000,0,0
327845180424204000,0,1
333617377226932000,0,0
327315737695879000,0,0
460822413635096000,0,2
331810856973250000,1,0
451716705455439000,1,0
388903379058954000,1,0
547640366480900000,2,0
396730277491671000,1,0
437265021274320000,0,0
376882570912219000,0,0
303330769265364000,0,0
413378892037373000,1,0
376535899237937000,1,0
347771408400674000,0,0
527171760190672000,0,0
384916001185214000,0,1
486595992192425000,0,1
481840309895036000,0,0
346077899645931000,0,0
347001497835413000,1,0
432635042125586000,0,0
535150823819726000,0,1
384692041910743000,0,0
388803688770174000,0,0
364473793973989000,0,0
340102484418768000,0,0
547405284260737000,2,0
496330388839485000,1,0
538513951060148000,0,1
344624409757233000,0,0
400051494998659000,0,0
311152009837424000,0,2
294145847845871000,1,0
486602476393463000,0,1
510387653003718000,2,0
465660916445761000,1,0
517307138989756000,0,1
519152502978007000,0,0
469147708448460000,0,0
491787781346443000,0,1
437572975353929000,0,0
369318865185943000,0,0
526017684971212000,0,1
359740819491651000,1,0
347003552998248000,0,0
308599813514067000,0,0
485426989218541000,0,0
368526036603895000,0,0
543437350769278000,0,0
544881047390154000,0,0
